Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
First Transit employee turned over a cell phone found on UC Shuttle bus / Inventoried for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2019-02-14,2/14/19 2:20 PM,19-00164,closed
UCPD assisted CPD in the arrest of a suspect who had menaced a victim by displaying a handgun in off campus parking lot / CPD case JC152356,Assault,CPD,5550 S. Shore Dr. (Parking Lot),2019-02-14,2/14/19 3:14 PM,19-00165,cpd
Windshield and side window of car parked on the street shattered with cinder block,Damage to Property,Open,850 E. 56th St.,2019-02-14,2/14/19 10:40 PM,19-00166,open
UCPD officer found an unattended bag containing personal items / Held for safekeeping,Found Property,Closed,1050 E. 59th St. (Wieboldt Hall),2019-02-14,2/14/19 9:41 PM,19-00167,closed
Coat taken from a bag left unsecured and unattended in the hallway,Theft,Open,1307 E. 60th St. (Keller Center),2019-02-14,2/15/19 8:47 AM,19-00168,open
A small baggie containing marijuana was found and turned over to UCPD for proper disposal,Found Property,Closed,6300 S. University (Woodlawn Charter School),2019-02-15,2/15/19 3:53 PM,19-00169,closed
UCPD officer arrested a motorist for DUI,DUI,Arrest,811 E. 55th St.,2019-02-16,2/16/19 12:13 AM,19-00170,arrested
An underage individual became ill after consuming alcoholic beverages was transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,6000 S. Ellis (UC Shuttle Bus),2019-02-16,2/16/19 3:32 AM,19-00171,referred
Catalytic converter taken from vehicle parked in the parking lot,Theft,Open,6019 S. Ingleside (Parking Lot),2019-01-25,2/16/19 1:13 PM,19-00172,open
"Victim walking on the sidewalk off campus was pushed to the ground and slapped by two unknown suspects, who then fled on foot / Referred to CPD",Information,Referred,5516 S. Kimbark (Public Way),2019-02-16,2/16/19 6:09 PM,19-00173,referred
Two suspects snatched a cell phone from the hand of a victim standing on the sidewalk / UCPD officers arrested the two suspects on the sidewalk at 6120 S. Ellis and recovered the victim's phone,Theft,Arrest,944 E. 57th St. (Public Way),2019-02-16,2/16/19 6:45 PM,19-00174,arrested
Sick person transported to UCMED by CFD EMS for evaluation and treatment,Medical,Closed,930 E. 55th St. (Public Way),2019-02-17,2/17/19 12:14 AM,19-00175,closed
Delayed report of accidental injury of UC staff member,Injury,Closed,850 E. 61st St. (UCPD HQ),2018-04-22,2/17/19 10:01 PM,19-00176,closed
"Cardboard boxes, discarded clothing and personal items found in exterior stairwell / Facilities notified",Information,Closed,5801 S. Ellis (Levi Hall),2019-02-17,2/18/19 7:28 AM,19-00177,closed
Individual transported to UCMED for evaluation,Mental Health,Closed,5734 S. Ellis (Hinds Lab),2019-02-18,2/18/19 11:41 AM,19-00178,closed
Unattended cell phone placed on table top was taken by an unknown person / Phone returned to owner / No crime occurred,Theft,Unfounded,6025 S. Ellis (Cathey Dining Hall),2019-02-17,2/18/19 1:24 PM,19-00179,unfounded
A subject took merchandise from off campus store without paying / Arrested by UCPD officers,Theft,Arrest,1346 E. 53rd St. (Target),2019-02-18,2/18/19 6:14 PM,19-00180,arrested
Dispute between two individuals documented / Handled by school administration,Information,Closed,6300 S. University (Woodlawn Charter School),2019-02-14,2/19/19 9:55 AM,19-00181,closed
Parcel containing laptop computer taken by an unknown person / Laptop was located in storage / No theft occurred,Theft,Unfounded,1307 E. 60th St. (Keller Center),2018-12-21,2/19/19 1:46 PM,19-00182,unfounded
Victim walking in parking structure was approached by three suspects who forcibly took the victim's cell phone and wallet / UCPD officers arrested two suspects at 57th & University / Victim's wallet and cell phone recovered,Robbery,Arrest,5505 S. Ellis (Parking Structure),2019-02-19,2/19/19 9:18 PM,19-00183,arrested
"Three suspects, one armed with a handgun, took a wallet and cell phone from a victim walking on the sidewalk off campus before fleeing on foot / CPD case JC158837",Information,CPD,5700 S. Dorchester (Public Way),2019-02-19,2/19/19 11:00 PM,19-00184,cpd
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,57th & Woodlawn,2017-01-01,2/20/19 12:05 PM,CSA Report    19-008,referred
An unauthorized subject ignored previous warnings and was arrested by UCPD for trespass,Trespass,Arrest,5706 S. University (Reynolds Club),2019-02-20,2/20/19 1:51 PM,19-00185,arrested
First transit supervisor turned over a wallet found on a UC Shuttle bus / Inventoried for safekeeping,Found Property,Closed,850 E. 61st St. (UCPD HQ),2019-02-19,2/20/19 12:45 PM,19-00186,closed
"DSS was notified by a Campus Security Authority that an undisclosed victim reported she was sexually assaulted by an acquaintance / Due to confidentiality of reporting, limited information is available regarding this incident.",Assault,No Investigation Referred to Title IX Coordinator,1330 E. 53rd St. (Vue 53 RH),2019-02-20,2/20/19 3:06 PM,CSA Report    19-009,referred
Unknown motorist struck a vehicle and also a wrought iron fence in the shopping center parking lot before driving off / 2019-MVA00041 / No injuries reported,Traffic Incident,Open,5420 S. Lake Park (HP Shopping Center),2019-02-20,2/20/19 2:05 PM,19-00187,open
UCPD officers confiscated a small quantity of marijuana found off campus - under ten grams - / Narcotic inventoried at UCPD for proper disposal,Possession of Narcotics,Closed,1369 E. Hyde Park (Parking Lot),2019-02-20,2/20/19 10:42 PM,19-00188,closed
Shots fired off campus by unknown person(s) damaging two unoccupied vehicles parked at the curb / No injuries reported / CPD case JC160081,Information,CPD,4625 S. Drexel (Public Way),2019-02-21,2/21/19 1:12 AM,19-00189,cpd
A UCPD officer arrested a motorist for DUI,DUI,Arrest,1756 E. 55th St.,2019-02-21,2/21/19 1:14 AM,19-00190,arrested
A sick person was transported by CFD EMS to the UCMED for evaluation and treatment,Medical,Closed,6031 S. Ellis (Granville-Grossman RH),2019-02-21,2/21/19 5:16 AM,19-00191,closed
An individual reports receiving annoying text messages from an acquaintance,Harassment,Closed,5730 S. Ellis (Crerar Library),2018-10-31,2/21/19 8:31 AM,19-00192,closed
A wallet was found and turned over to UCPD / Officers found several credit cards in the wallet that had been stolen at various locations over a period of time / Owner of wallet called seeking wallet / Owner of wallet arrived at UCPD HQ and was arrested for theft of the credit cards,Theft,Arrest,1100 E. 57th St. (Regenstein Library),2019-02-21,2/21/19 11:00 AM,19-00193,arrested
Wallet found and turned over to UCPD for safekeeping,Found Property,Closed,5700 S. Woodlawn,2019-02-20,2/21/19 2:33 PM,19-00194,closed
Irate patient caused a disturbance / Peace restored,Information,Closed,5758 S. Maryland (DCAM),2019-02-18,2/21/19 3:52 PM,19-00195,closed
Person reported losing wallet while in the building,Lost Property,Closed,5730 S. Ellis (Crerar Library),2019-02-22,2/22/19 12:54 PM,19-00196,closed
A person reported seeing a motorist drive over the curb and drive on grassed area of the Midway in an apparent attempt to avoid traffic congestion / Suspect gone prior to police notification,Information,Closed,1250 E. 59th St. (Park Dist. Property),2019-02-22,2/22/19 3:46 PM,19-00197,closed
UC owned vehicle involved in property damage accident / No injuries reported / 2019-MVA00198,Traffic Incident,Closed,5835 S. Kimbark (Parking Lot),2019-02-22,2/22/19 4:44 PM,19-00198,closed
A sick person was transported to the UCMED by CFD EMS for treatment,Medical,Closed,5500 S. Ellis (Public Way),2019-02-22,2/22/19 7:19 PM,19-00199,closed
"Unattended, unsecured jacket taken from railing on bridge way between buildings",Theft,Open,5841 S. Maryland (Bridge way),2019-02-23,2/23/19 12:29 PM,19-00200,open
Information relating to treatment of a person who swallowed an unknown substance,Information,Closed,5700 S. Maryland (CCD),2019-02-23,2/23/19 2:56 PM,19-00201,closed
Staff member turned over a small amount of narcotics that was found in a patient's room / Inventoried at UCPD for proper disposal,Found Property,Closed,5815 S. Maryland (Mitchell Hospital),2019-02-23,2/23/19 8:26 PM,19-00202,closed
An underage individual became ill after consuming alcoholic beverages transported to UCMED by CFD EMS,Liquor Law Violation,Referred,1009 E. 57th St. (Snell-Hitchcock RH),2019-02-23,2/23/19 10:28 PM,19-00203,referred
Sick person transported to UCMED by CFD EMS for evaluation and treatment,Medical,Closed,5501 S. Ellis (Public Way),2019-02-24,2/24/19 1:58 AM,19-00204,closed
Report of minor damage to UC owned vehicle,Information,Closed,5734 S. Ellis (Public Way),2019-02-18,2/24/19 6:50 AM,19-00205,closed
Wallet taken from unsecured locker in staff locker room,Theft,Open,5700 S. Maryland (Staff Locker Room),2019-02-24,2/24/19 11:10 AM,19-00206,open
5 suspects drove off in a car that the owner left parked with the motor running off campus  / Suspects crashed car in lot at 1350 E. 55th St and fled on foot  / 4 juvenile suspects arrested by UCPD officers,Theft,Arrest,5250 S. Blackstone (Public Way),2019-02-24,2/24/19 2:56 PM,19-00207,arrested
Staff member found suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Found Property,Closed,5700 S. Maryland (CCD),2019-02-24,2/24/29 11:10 PM,19-00208,closed
Unknown persons forced entry by cutting locks and fence / Suspects took copper tubing and copper wire from site,Burglary,Open,1156 E. 61st St. (Woodlawn Commons Constr. Site),2019-02-22,2/25/19 11:32 AM,19-00209,open
Individual transported to UCMED for evaluation,Mental Health,Closed,5555 S. Woodlawn (Student Counseling Services),2019-02-25,2/25/19 4:44 PM,19-00210,closed
An individual reported to UCPD that daughter had been sexually abused in another area of the city of Chicago over a period of time / Patient admitted to Comer ER for examination / Referred to CPD,Information,CPD,850 E. 61st St. (UCPD HQ),NA,2/25/19 9:07 PM,19-00211,cpd
Physician reports fraudulent prescriptions written using his name and DEA number presented to pharmacies outside of UCPD area / DEA notified,Deceptive Practice,Open,5815 S. Maryland (Mitchell Hospital),2018-11-18,2/26/19 10:48 AM,19-00212,open
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,1100 E. 57th St. (Regenstein Library,2019-02-25,2/26/19 12:05 PM,CSA Report    19-010,referred
Unknown person smashed passenger's side rear window in car parked in lower level and took coins,Theft,Open,5505 S. Ellis (Parking Structure),2019-02-26,2/26/19 5:15 PM,19-00213,open
Unknown person entered vehicle parked on the 3rd floor and took coins,Theft,Open,5505 S. Ellis (Parking Structure),2019-02-26,2/26/19 6:53 PM,19-00214,open
Unsecured bicycle taken from bike rack,Theft,Open,1118 E. 58th St. (Eckhart Hall Bike Rack),2019-02-27,2/27/19 9:46 AM,19-00215,open
An individual was accidently struck in the face by a basketball while standing at court side during a basketball game / Declined medical attention,Medical,Closed,4444 S. Evans (Woodson Charter School),2019-02-26,2/27/19 12:54 PM,19-00216,closed
Two unknown suspects approached a person walking on the sidewalk off campus and forcibly took the victim's wallet and cell phone before fleeing on foot / CPD case JC168288,Information,CPD,1369 E. Hyde Park (Public Way),2019-02-27,2/27/19 8:47 PM,19-00217,cpd
Unknown person smashed window of vehicle parked on the lower level and took coins from the car,Theft,Open,5505 S. Ellis (Parking Structure),2019-02-24,2/28/19 6:12 PM,19-00218,open
"Individual slipped on first floor stairs, fell complained of injuries to head and neck / Transported to UCMED by CFD EMS for evaluation and treatment",Injury,Closed,5500 S. University (Campus North RH),2019-02-28,2/28/19 6:41 PM,19-00219,closed
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5730 S. Ellis (Crerar Library),NA,2/28/19 5:31 PM,CSA Report    19-011,referred
Person reported losing keys and wallet while in the building,Lost Property,Closed,5700 S. Maryland (CCD),2019-03-01,3/1/19 12:54 AM,19-00220,closed
UCPD officers assisted CPD with a shots fired call off campus / No persons were injured or property damaged / A handgun was found and turned over to CPD / CPD case JC170117,Assist Other Agency,CPD,5140 S. Kenwood (Public Way),2019-03-01,3/1/19 2:40 PM,19-00221,cpd
A vehicle crashed into a concrete pillar in the shopping center / No injuries reported / 2019 MVA00047,Traffic Incident,Closed,5422 S. Lake Park (H.P. Shopping Center),2019-03-01,3/1/19 4:14 PM,19-00222,closed
Secured bicycle taken from bike rack,Theft,Open,1009 E. 57th St. (Snell-Hitchcock RH Bike Rack),2019-02-14,3/1/19 5:00 PM,19-00223,open
Individual found a pocket knife and turned it over to UCPD,Found Property,Closed,5710 S. Woodlawn,2019-03-01,3/1/19 5:50 PM,19-00224,closed
Secured bicycle taken from off campus bike rack,Theft,Open,1462 E. 53rd St.,2019-02-27,3/1/19 8:54 PM,19-00225,open
"Three subjects, one armed with a handgun, took a purse from a person walking on the sidewalk off campus before fleeing in a waiting vehicle / CPD case JC170568",Information,CPD,5414 S. Greenwood (Public Way),2019-03-01,3/1/19 8:47 PM,19-00226,cpd
